"question_id","domain","objective_id","concept","review_basis"
"netplus-1","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-2","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-3","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-4","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-5","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-6","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-7","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-8","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-9","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-10","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-11","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-12","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-13","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-14","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-15","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-16","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-17","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-18","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-19","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-20","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-21","Network Troubleshooting","5.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-22","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-23","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-24","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-25","Network Security","4.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-26","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-27","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-28","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-29","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-30","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-31","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-32","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-33","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-34","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-35","Network Operations","3.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-36","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-37","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-38","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-39","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-40","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-41","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-42","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-43","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-44","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-45","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-46","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-47","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-48","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-49","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-50","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-51","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-52","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-53","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-54","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-55","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-56","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-57","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-58","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-59","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-60","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-61","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-62","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-63","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-64","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-65","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-66","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-67","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-68","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-69","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-70","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-71","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-72","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-73","Network Operations","3.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-74","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-75","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-76","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-77","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-78","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-79","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-80","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-81","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-82","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-83","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-84","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-85","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-86","Network Troubleshooting","5.1","methodology","stem-answer strict match"
"netplus-87","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-88","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-89","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-90","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-91","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-92","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-93","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-94","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-95","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-96","Network Troubleshooting","5.1","methodology","stem-answer strict match"
"netplus-97","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-98","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-99","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-100","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-101","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-102","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-103","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-104","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-105","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-106","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-107","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-108","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-109","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-110","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-111","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-112","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-113","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-114","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-115","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-116","Network Implementation","2.1","routing-qos","stem-answer strict match"
"netplus-117","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-118","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-119","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-120","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-121","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-122","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-123","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-124","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-125","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-126","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-127","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-128","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-129","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-130","Network Security","4.5","physical-security","stem-answer strict match"
"netplus-131","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-132","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-133","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-134","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-135","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-136","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-137","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-138","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-139","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-140","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-141","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-142","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-143","Network Troubleshooting","5.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-144","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-145","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-146","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-147","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-148","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-149","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-150","Network Troubleshooting","5.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-151","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-152","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-153","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-154","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-155","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-156","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-157","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-158","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-159","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-160","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-161","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-162","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-163","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-164","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-165","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-166","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-167","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-168","Network Operations","3.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-169","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-170","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-171","Network Security","4.5","editorial-reviewed","retained after no conflicting strict match"
"netplus-172","Network Security","4.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-173","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-174","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-175","Network Security","4.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-176","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-177","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-178","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-179","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-180","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-181","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-182","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-183","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-184","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-185","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-186","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-187","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-188","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-189","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-190","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-191","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-192","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-193","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-194","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-195","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-196","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-197","Network Security","4.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-198","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-199","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-200","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-201","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-202","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-203","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-204","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-205","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-206","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-207","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-208","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-209","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-210","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-211","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-212","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-213","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-214","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-215","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-216","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-217","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-218","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-219","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-220","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-221","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-222","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-223","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-224","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-225","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-226","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-227","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-228","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-229","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-230","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-231","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-232","Network Security","4.5","physical-security","stem-answer strict match"
"netplus-233","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-234","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-235","Network Troubleshooting","5.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-236","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-237","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-238","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-239","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-240","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-241","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-242","Network Operations","3.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-243","Network Troubleshooting","5.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-244","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-245","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-246","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-247","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-248","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-249","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-250","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-251","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-252","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-253","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-254","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-255","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
