"question_id","domain","objective_id","concept","review_basis"
"netplus-256","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-257","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-258","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-259","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-260","Network Implementation","2.1","routing-qos","stem-answer strict match"
"netplus-261","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-262","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-263","Network Operations","3.5","editorial-reviewed","retained after no conflicting strict match"
"netplus-264","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-265","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-266","Network Operations","3.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-267","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-268","Network Security","4.5","editorial-reviewed","retained after no conflicting strict match"
"netplus-269","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-270","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-271","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-272","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-273","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-274","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-275","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-276","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-277","Network Implementation","2.1","routing-qos","stem-answer strict match"
"netplus-278","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-279","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-280","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-281","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-282","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-283","Network Troubleshooting","5.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-284","Networking Concepts","1.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-285","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-286","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-287","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-288","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-289","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-290","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-291","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-292","Network Operations","3.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-293","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-294","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-295","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-296","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-297","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-298","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-299","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-300","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-301","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-302","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-303","Networking Concepts","1.3","cloud-connectivity","stem-answer strict match"
"netplus-304","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-305","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-306","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-307","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-308","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-309","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-310","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-311","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-312","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-313","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-314","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-315","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-316","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-317","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-318","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-319","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-320","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-321","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-322","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-323","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-324","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-325","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-326","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-327","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-328","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-329","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-330","Network Operations","3.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-331","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-332","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-333","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-334","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-335","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-336","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-337","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-338","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-339","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-340","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-341","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-342","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-343","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-344","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-345","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-346","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-347","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-348","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-349","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-350","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-351","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-352","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-353","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-354","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-355","Networking Concepts","1.7","editorial-reviewed","retained after no conflicting strict match"
"netplus-356","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-357","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-358","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-359","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-360","Networking Concepts","1.6","editorial-reviewed","retained after no conflicting strict match"
"netplus-361","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-362","Networking Concepts","1.6","editorial-reviewed","retained after no conflicting strict match"
"netplus-363","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-364","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-365","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-366","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-367","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-368","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-369","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-370","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-371","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-372","Network Implementation","2.1","editorial-reviewed","retained after no conflicting strict match"
"netplus-373","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-374","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-375","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-376","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-377","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-378","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-379","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-380","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-381","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-382","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-383","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-384","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-385","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-386","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-387","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-388","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-389","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-390","Network Troubleshooting","5.2","cabling-interfaces","stem-answer strict match"
"netplus-391","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-392","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-393","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-394","Networking Concepts","1.3","cloud-connectivity","stem-answer strict match"
"netplus-395","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-396","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-397","Network Troubleshooting","5.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-398","Network Operations","3.3","availability-recovery","stem-answer strict match"
"netplus-399","Network Security","4.4","remote-access-security","stem-answer strict match"
"netplus-400","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-401","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-402","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-403","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-404","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-405","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-406","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-407","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-408","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-409","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-410","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-411","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-412","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-413","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-414","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-415","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-416","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-417","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-418","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-419","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-420","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-421","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-422","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-423","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-424","Network Operations","3.4","network-services","stem-answer strict match"
"netplus-425","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-426","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-427","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-428","Network Operations","3.2","monitoring","stem-answer strict match"
"netplus-429","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-430","Network Operations","3.1","process-documentation","stem-answer strict match"
"netplus-431","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-432","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-433","Network Security","4.3","defensive-features","stem-answer strict match"
"netplus-434","Network Security","4.5","editorial-reviewed","retained after no conflicting strict match"
"netplus-435","Network Security","4.2","network-attacks","stem-answer strict match"
"netplus-436","Network Security","4.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-437","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-438","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-439","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-440","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-441","Networking Concepts","1.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-442","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-443","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-444","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-445","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-446","Network Troubleshooting","5.1","methodology","stem-answer strict match"
"netplus-447","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-448","Networking Concepts","1.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-449","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-450","Network Security","4.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-451","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-452","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-453","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-454","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-455","Networking Concepts","1.7","ipv4-subnetting","stem-answer strict match"
"netplus-456","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-457","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-458","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-459","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-460","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-461","Networking Concepts","1.5","media-transceivers","stem-answer strict match"
"netplus-462","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-463","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-464","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-465","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-466","Network Implementation","2.4","physical-installation","stem-answer strict match"
"netplus-467","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-468","Network Implementation","2.2","switching","stem-answer strict match"
"netplus-469","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-470","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-471","Network Implementation","2.3","wireless-implementation","stem-answer strict match"
"netplus-472","Network Implementation","2.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-473","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-474","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-475","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-476","Network Operations","3.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-477","Network Operations","3.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-478","Network Operations","3.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-479","Network Operations","3.5","access-management","stem-answer strict match"
"netplus-480","Network Operations","3.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-481","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-482","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-483","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-484","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-485","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-486","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-487","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-488","Network Troubleshooting","5.4","performance","stem-answer strict match"
"netplus-489","Network Troubleshooting","5.3","service-failures","stem-answer strict match"
"netplus-490","Network Troubleshooting","5.5","tools-protocols","stem-answer strict match"
"netplus-491","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-492","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-493","Network Security","4.1","security-foundations","stem-answer strict match"
"netplus-494","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-495","Network Implementation","2.2","editorial-reviewed","retained after no conflicting strict match"
"netplus-496","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-497","Network Troubleshooting","5.3","editorial-reviewed","retained after no conflicting strict match"
"netplus-498","Networking Concepts","1.4","protocols-ports","stem-answer strict match"
"netplus-499","Network Implementation","2.4","editorial-reviewed","retained after no conflicting strict match"
"netplus-500","Network Security","4.5","editorial-reviewed","retained after no conflicting strict match"
"netplus-501","Networking Concepts","1.6","editorial-reviewed","retained after no conflicting strict match"
"netplus-502","Networking Concepts","1.2","network-functions","stem-answer strict match"
"netplus-503","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-504","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-505","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-506","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
"netplus-507","Networking Concepts","1.3","cloud-connectivity","stem-answer strict match"
"netplus-508","Networking Concepts","1.1","osi-model","stem-answer strict match"
"netplus-509","Networking Concepts","1.6","topologies-types","stem-answer strict match"
"netplus-510","Networking Concepts","1.8","evolving-networks","stem-answer strict match"
